Name,Condition,Price,Shipping Cost,Location,Total Sold,Seller
"Viotek 29"" LED Ultrawide 2560x1080p Curved Gaming Monitor 120Hz 4ms 2 x HDMI, DP",Excellent - Refurbished,$139.00,+$253.49 shipping,from United States,N/A,"hypermicrosystems (69,305) 99.4%"
"Viotek 30"" LED Curved Gaming Monitor w/Adjustable stand 200Hz 7ms 1080p 2xHDMI,",Excellent - Refurbished,$139.98,+$253.52 shipping,from United States,N/A,"hypermicrosystems (69,305) 99.4%"
"Philips 288E2UAE 28"" UHD IPS LED Monitor Black 288E2UAE PC SCREEN *NO STAND* #3E",Pre-Owned,$111.40,+$126.28 shipping estimate,from United Kingdom,N/A,"kel-tel (28,413) 99.4%"
"Viotek 27"" LED Height Adjustable Gaming Monitor 240Hz 1080p Full-HD 1ms HDMI DP",Excellent - Refurbished,$135.99,+$253.40 shipping,from United States,N/A,"hypermicrosystems (69,305) 99.4%"
"HP LE2202x 21.5"" LED Backlit Full HD 1080p 60Hz Monitor Display *No Stand* #NK",Pre-Owned,$23.45,+$113.81 shipping estimate,from United Kingdom,N/A,"kel-tel (28,413) 99.4%"
"MSI G244F E2 24"" FHD Flat Rapid IPS Gaming Monitor, 180Hz/1ms",Certified - Refurbished,$88.99,+$125.70 shipping,from United States,48 sold,"starlit_partner (9,410) 99%"
"ASUS PA248Q 24"" ProArt 1920x1200 16:10 IPS Monitor Display Screen LED LCD - USED",Pre-Owned,$100.00,+$252.34 shipping,from United States,N/A,"froggy_fog (5,420) 100%"
"MSI Optix G273 27"" Gaming IPS LCD Monitor New / Open Box",Open Box,$70.00,+$251.46 shipping,from United States,N/A,"aceofparts10 (133,299) 98.6%"
"Dell HD Monitor HDMI P2217H 21.5"" VGA DisplayPort 1920 x 1080 Computer Screen",Good - Refurbished,$53.10,+$71.98 shipping estimate,from United Kingdom,59 sold,"rebuyer_uk (4,495) 99.5%"
"Viotek 24"" Curved Gaming Monitor 1080p 144hZ 99% sRGB FreeSync GN24CB",Excellent - Refurbished,$86.99,+$251.96 shipping,from United States,N/A,"hypermicrosystems (69,305) 99.4%"
